version,total_memory,tmp_max,cpu_user_time,fd_use,tmp_used,rx_bytes,request_id,payload,insights_duration,shutdown,duration,threads_max,init_duration,agent_memory_max,agent_memory_avg,total_network,billed_duration,function_error,cold_start,insight_init_duration,billed_mb_ms,fd_max,memory_used,memory_size,memory_utilisation,shutdown_reason,cpu_system_time,start_time,tmp_free,function_name,tx_bytes,used_memory_max
RAM2944,2944,550461440,19210,22,12140544,15993,8f8fcaca-8c03-4206-a31d-d9989eda602c,{'n': 7110},12831,0,12832,9,,11,11,27434,12832,,False,0,37777408,1024,1286,2944,43,0,1290,1722319035972,538320896,workbench-matmul,11441,1286
RAM1536,1536,550461440,4890,21,12140544,7671,bd2705ee-d3f0-42e9-8e20-e0eb706983a7,{'n': 4410},5900,0,5901,10,,10,10,15384,5901,,False,0,9063936,1024,590,1536,38,0,230,1722318962636,538320896,workbench-matmul,7713,590
RAM2048,2048,550461440,10,21,12140544,0,446a09ac-8220-4acd-9b11-2c5d4e546242,{'n': 10},3,0,4,10,,10,10,0,4,,False,0,8192,1024,675,2048,32,0,20,1722318942400,538320896,workbench-matmul,0,675
RAM1920,1920,550461440,80,21,12140544,430,bdc7bfdb-c913-4c9c-8236-d08fc6083ce0,{'n': 1010},80,0,81,10,,11,11,496,81,,False,0,155520,1024,265,1920,13,0,20,1722318922393,538320896,workbench-matmul,66,265
RAM1024,1024,550461440,710,21,12140544,7449,f19898e2-f13f-4eae-ac3c-bd9b46d701be,{'n': 7010},2966,1,2967,10,,11,10,15216,2967,Runtime exited with error: signal: killed,False,0,3038208,1024,1024,1024,100,failure,660,1722318979292,538320896,workbench-matmul,7767,1024
RAM384,384,550461440,330,21,12140544,222,dd7d3f3b-78fe-47a4-b7f8-09c3f4b654ca,{'n': 6910},8891,1,8892,9,,10,10,300,8892,Runtime exited with error: signal: killed,False,0,3414528,1024,384,384,100,failure,150,1722318975774,538320896,workbench-matmul,78,384
RAM384,384,550461440,330,21,12140544,222,ee33244b-5ac4-46b7-af7c-70eda03388a3,{'n': 7510},10700,1,10701,9,,10,9,300,10701,Runtime exited with error: signal: killed,False,0,4109184,1024,384,384,100,failure,280,1722318987029,538320896,workbench-matmul,78,384
RAM1792,1792,550461440,10,22,12140544,0,bea62206-847f-4112-8f6f-21080aa4fffd,{'n': 110},3,0,4,10,,10,10,0,4,,False,0,7168,1024,230,1792,12,0,10,1722318920480,538320896,workbench-matmul,0,230
RAM1024,1024,550461440,840,21,12140544,7677,61675230-8711-43e3-b7c6-79ea90699b94,{'n': 9610},2741,1,2742,9,,10,10,15448,2742,Runtime exited with error: signal: killed,False,0,2807808,1024,1025,1024,100,failure,300,1722319009002,538320896,workbench-matmul,7771,1025
RAM2688,2688,550461440,21580,22,12140544,7899,a69e5e3b-41ae-4dd0-aa52-5b4cd8701dfe,{'n': 7410},15040,0,15041,10,,10,10,15888,15041,,False,0,40430208,1024,2204,2688,81,0,730,1722319087822,538320896,workbench-matmul,7989,2204
