fd_max,insights_duration,shutdown_reason,used_memory_max,total_network,cpu_system_time,tx_bytes,insight_init_duration,tmp_max,init_duration,payload,request_id,fd_use,agent_memory_max,function_name,cold_start,version,start_time,total_memory,tmp_free,tmp_used,rx_bytes,agent_memory_avg,duration,billed_mb_ms,memory_used,memory_size,billed_duration,shutdown,threads_max,memory_utilisation,cpu_user_time
1024.0,2.0,0,73.0,1463.0,0.0,408.0,0.0,550461440.0,,{'n': 10},dc8b7602-b1a1-4a43-9a4a-1ee1527274a2,19.0,10.0,sebs-floatOperation,False,RAM2816,1722578905353,2816.0,538320896.0,12140544.0,1055.0,10.0,3,8448.0,73,2816,3.0,0.0,10.0,2.0,0.0
1024.0,4.0,0,73.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 3210},fc776367-e4f8-478c-bae9-2ab73228dba8,20.0,9.0,sebs-floatOperation,False,RAM1152,1722578904853,1152.0,538320896.0,12140544.0,0.0,9.0,5,5760.0,73,1152,5.0,0.0,9.0,6.0,10.0
1024.0,101.0,0,72.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 4110},b63ca4e6-9a2b-4474-ab09-daa6e684fcca,21.0,9.0,sebs-floatOperation,False,RAM128,1722578903888,128.0,538320896.0,12140544.0,0.0,9.0,102,13056.0,72,128,102.0,0.0,10.0,56.0,0.0
1024.0,17.0,0,72.0,84.0,90.0,42.0,528.0,550461440.0,528.0,{'n': 1110},489fef39-6548-48db-b2bc-8b780583b2b9,20.0,9.0,sebs-floatOperation,True,RAM512,1722578901582,512.0,538324992.0,12136448.0,42.0,9.0,18,9216.0,72,512,18.0,0.0,10.0,14.0,30.0
1024.0,6.0,0,72.0,84.0,60.0,42.0,525.0,550461440.0,525.0,{'n': 3710},17b9c798-4b90-4f60-9c0d-2c48940c99b0,21.0,9.0,sebs-floatOperation,True,RAM3008,1722578903836,3008.0,538324992.0,12136448.0,42.0,8.0,7,21056.0,72,3008,7.0,0.0,10.0,2.0,20.0
1024.0,7.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 7110},26024be4-6768-4373-a75a-de4a2061306e,20.0,11.0,sebs-floatOperation,False,RAM2688,1722578906838,2688.0,538320896.0,12140544.0,0.0,11.0,8,21504.0,74,2688,8.0,0.0,10.0,2.0,10.0
1024.0,4.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 4410},c98363cf-c107-427a-aa56-9c652a7098b5,20.0,11.0,sebs-floatOperation,False,RAM2816,1722578904956,2816.0,538320896.0,12140544.0,0.0,11.0,5,14080.0,74,2816,5.0,0.0,10.0,2.0,10.0
1024.0,11.0,0,73.0,2090.0,0.0,771.0,0.0,550461440.0,,{'n': 810},5e74d702-a3e4-40fb-9b8b-bfd3bab4db49,19.0,10.0,sebs-floatOperation,False,RAM512,1722578904681,512.0,538320896.0,12140544.0,1319.0,10.0,12,6144.0,73,512,12.0,0.0,9.0,14.0,0.0
1024.0,3.0,0,73.0,1537.0,0.0,482.0,0.0,550461440.0,,{'n': 2610},04f772f9-0837-4b54-bf06-63c4c6103822,20.0,10.0,sebs-floatOperation,False,RAM2688,1722578904441,2688.0,538320896.0,12140544.0,1055.0,10.0,4,10752.0,73,2688,4.0,0.0,10.0,2.0,0.0
1024.0,6.0,0,72.0,84.0,140.0,42.0,524.0,550461440.0,524.0,{'n': 1610},b6d5d34a-7a21-4082-bf18-9cfe8abc4616,21.0,9.0,sebs-floatOperation,True,RAM2560,1722578903500,2560.0,538324992.0,12136448.0,42.0,8.0,7,17920.0,72,2560,7.0,0.0,10.0,2.0,40.0
1024.0,5.0,0,73.0,10802.0,10.0,3290.0,0.0,550461440.0,,{'n': 4910},807b8337-c963-4b25-8245-75589630e10f,21.0,9.0,sebs-floatOperation,False,RAM1920,1722578904263,1920.0,538320896.0,12140544.0,7512.0,9.0,6,11520.0,73,1920,6.0,0.0,10.0,3.0,0.0
1024.0,6.0,0,73.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 4810},cb8db0af-cd74-44d0-8c01-8609fe3dce9f,19.0,10.0,sebs-floatOperation,False,RAM896,1722578904063,896.0,538320896.0,12140544.0,0.0,10.0,7,6272.0,73,896,7.0,0.0,10.0,8.0,0.0
1024.0,5.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 5110},4d6eb965-5b79-4b43-8709-683beb95f5cd,19.0,11.0,sebs-floatOperation,False,RAM640,1722578906870,640.0,538320896.0,12140544.0,0.0,11.0,6,3840.0,74,640,6.0,0.0,10.0,11.0,0.0
1024.0,7.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 9310},26f1e18b-a1c9-4406-afe3-a96f938d4c9b,19.0,10.0,sebs-floatOperation,False,RAM1408,1722578908443,1408.0,538320896.0,12140544.0,0.0,10.0,8,11264.0,74,1408,8.0,0.0,10.0,5.0,20.0
1024.0,3.0,0,73.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 510},6465d61f-cf08-4bb7-b6a0-ee5532504c90,20.0,10.0,sebs-floatOperation,False,RAM2176,1722578904238,2176.0,538320896.0,12140544.0,0.0,10.0,4,8704.0,73,2176,4.0,0.0,10.0,3.0,10.0
1024.0,6.0,0,72.0,84.0,160.0,42.0,516.0,550461440.0,516.0,{'n': 610},6cf174c5-2b48-437a-a293-3a0f78d74868,21.0,9.0,sebs-floatOperation,True,RAM2944,1722578903652,2944.0,538324992.0,12136448.0,42.0,8.0,7,20608.0,72,2944,7.0,0.0,11.0,2.0,100.0
1024.0,7.0,0,73.0,12414.0,0.0,4704.0,0.0,550461440.0,,{'n': 7910},5bac22a2-dfa6-4ef7-bdb1-409ebe936c41,19.0,10.0,sebs-floatOperation,False,RAM1024,1722578906536,1024.0,538320896.0,12140544.0,7710.0,10.0,8,8192.0,73,1024,8.0,0.0,10.0,7.0,10.0
1024.0,7.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 7310},40dc1ab6-30d9-4fb1-87b5-37f2f71f1261,20.0,10.0,sebs-floatOperation,False,RAM640,1722578906319,640.0,538320896.0,12140544.0,0.0,10.0,8,5120.0,74,640,8.0,0.0,10.0,11.0,10.0
1024.0,6.0,0,72.0,84.0,170.0,42.0,487.0,550461440.0,487.0,{'n': 3610},1cf70837-71b5-410f-99d7-6a7f7ac14b99,21.0,9.0,sebs-floatOperation,True,RAM896,1722578902207,896.0,538324992.0,12136448.0,42.0,9.0,7,6272.0,72,896,7.0,0.0,10.0,8.0,120.0
1024.0,4.0,0,73.0,12236.0,10.0,5460.0,0.0,550461440.0,,{'n': 2310},b7e98d7c-1462-4af7-9463-64cb898401ed,20.0,10.0,sebs-floatOperation,False,RAM1152,1722578904247,1152.0,538320896.0,12140544.0,6776.0,10.0,5,5760.0,73,1152,5.0,0.0,10.0,6.0,20.0
1024.0,42.0,0,74.0,0.0,10.0,0.0,0.0,550461440.0,,{'n': 9610},4d18cec8-4b4e-486a-bce0-b94e587ea3b5,20.0,10.0,sebs-floatOperation,False,RAM256,1722578908189,256.0,538320896.0,12140544.0,0.0,10.0,43,11008.0,74,256,43.0,0.0,10.0,28.0,10.0
1024.0,8.0,0,73.0,12442.0,10.0,3644.0,0.0,550461440.0,,{'n': 9010},5443cd71-1235-4ce8-9931-09ec0f64d442,20.0,10.0,sebs-floatOperation,False,RAM1664,1722578906952,1664.0,538320896.0,12140544.0,8798.0,10.0,9,14976.0,73,1664,9.0,0.0,10.0,4.0,10.0
1024.0,5.0,0,72.0,84.0,100.0,42.0,506.0,550461440.0,506.0,{'n': 2410},045224e5-bd65-4592-b998-f0f4b143d959,21.0,9.0,sebs-floatOperation,True,RAM2560,1722578903181,2560.0,538324992.0,12136448.0,42.0,8.0,6,15360.0,72,2560,6.0,0.0,10.0,2.0,40.0
1024.0,72.0,0,74.0,0.0,10.0,0.0,0.0,550461440.0,,{'n': 9410},dc388285-8a9d-4643-9581-60f7466a2665,20.0,10.0,sebs-floatOperation,False,RAM256,1722578906725,256.0,538320896.0,12140544.0,0.0,10.0,73,18688.0,74,256,73.0,0.0,11.0,28.0,0.0
1024.0,4.0,0,72.0,8614.0,10.0,2165.0,0.0,550461440.0,,{'n': 3310},511163a7-7c93-40f7-a653-c2960509113c,21.0,11.0,sebs-floatOperation,False,RAM2304,1722578904421,2304.0,538320896.0,12140544.0,6449.0,11.0,5,11520.0,72,2304,5.0,0.0,10.0,3.0,0.0
1024.0,3.0,0,73.0,11135.0,0.0,3368.0,0.0,550461440.0,,{'n': 610},52332552-77c9-43b7-a0ef-81d1d90b799c,20.0,10.0,sebs-floatOperation,False,RAM1280,1722578904991,1280.0,538320896.0,12140544.0,7767.0,10.0,4,5120.0,73,1280,4.0,0.0,10.0,5.0,10.0
1024.0,4.0,0,73.0,2056.0,0.0,927.0,0.0,550461440.0,,{'n': 4010},16d244de-59ab-4366-9224-be001d6b0b8f,19.0,10.0,sebs-floatOperation,False,RAM2816,1722578905297,2816.0,538320896.0,12140544.0,1129.0,10.0,5,14080.0,73,2816,5.0,0.0,10.0,2.0,10.0
1024.0,3.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 1610},0b465a87-39d9-43cb-b8f5-87c4c8cef0ff,19.0,10.0,sebs-floatOperation,False,RAM896,1722578904784,896.0,538320896.0,12140544.0,0.0,10.0,4,3584.0,74,896,4.0,0.0,10.0,8.0,10.0
1024.0,6.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 7410},7791f579-245c-40b1-8f37-5ceaea33d138,19.0,10.0,sebs-floatOperation,False,RAM3008,1722578907632,3008.0,538320896.0,12140544.0,0.0,10.0,7,21056.0,74,3008,7.0,0.0,11.0,2.0,20.0
1024.0,6.0,0,72.0,84.0,180.0,42.0,531.0,550461440.0,531.0,{'n': 1410},9f997832-3067-4f37-9b4a-21399238f83a,21.0,9.0,sebs-floatOperation,True,RAM1408,1722578902171,1408.0,538324992.0,12136448.0,42.0,8.0,7,9856.0,72,1408,7.0,0.0,9.0,5.0,140.0
1024.0,5.0,0,74.0,10979.0,10.0,3236.0,0.0,550461440.0,,{'n': 5810},8f28f03e-f951-44c6-a55b-c435fd48f937,20.0,10.0,sebs-floatOperation,False,RAM2176,1722578907314,2176.0,538320896.0,12140544.0,7743.0,10.0,6,13056.0,74,2176,6.0,0.0,10.0,3.0,10.0
1024.0,4.0,0,73.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 4010},12056750-bebc-41e5-ac5c-6962b28e9168,19.0,10.0,sebs-floatOperation,False,RAM2048,1722578904395,2048.0,538320896.0,12140544.0,0.0,10.0,5,10240.0,73,2048,5.0,0.0,10.0,3.0,0.0
1024.0,7.0,0,73.0,10934.0,0.0,3290.0,0.0,550461440.0,,{'n': 2510},f72c3578-4c0a-4d18-866e-37850ef80a55,20.0,10.0,sebs-floatOperation,False,RAM1024,1722578904936,1024.0,538320896.0,12140544.0,7644.0,10.0,8,8192.0,73,1024,8.0,0.0,10.0,7.0,0.0
1024.0,8.0,0,74.0,21713.0,0.0,7579.0,0.0,550461440.0,,{'n': 9810},3e1dad2a-37b0-4cfe-821b-766bc003fb18,20.0,9.0,sebs-floatOperation,False,RAM2304,1722578907920,2304.0,538320896.0,12140544.0,14134.0,9.0,9,20736.0,74,2304,9.0,0.0,10.0,3.0,20.0
1024.0,13.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 9010},7b776283-f8b3-4cc6-ae26-63f5a59d9fb8,19.0,10.0,sebs-floatOperation,False,RAM512,1722578906626,512.0,538320896.0,12140544.0,0.0,10.0,14,7168.0,74,512,14.0,0.0,9.0,14.0,10.0
1024.0,5.0,0,74.0,10680.0,0.0,4091.0,0.0,550461440.0,,{'n': 5410},6b829d71-7552-4ade-ac8e-7e4492a95ae9,19.0,9.0,sebs-floatOperation,False,RAM2304,1722578908174,2304.0,538320896.0,12140544.0,6589.0,9.0,6,13824.0,74,2304,6.0,0.0,10.0,3.0,0.0
1024.0,5.0,0,72.0,84.0,90.0,42.0,513.0,550461440.0,513.0,{'n': 210},34ab0d93-eca6-4d0f-9945-946198cb87e8,21.0,9.0,sebs-floatOperation,True,RAM1920,1722578902881,1920.0,538324992.0,12136448.0,42.0,8.0,6,11520.0,72,1920,6.0,0.0,10.0,3.0,40.0
1024.0,6.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 7910},8ee94df3-fd8b-479b-b866-fb28a37ba8fc,20.0,10.0,sebs-floatOperation,False,RAM512,1722578906306,512.0,538320896.0,12140544.0,0.0,10.0,7,3584.0,74,512,7.0,0.0,9.0,14.0,10.0
1024.0,5.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 5210},24e76b33-3387-4578-84d6-d9ee981b69fd,19.0,10.0,sebs-floatOperation,False,RAM512,1722578907617,512.0,538320896.0,12140544.0,0.0,10.0,6,3072.0,74,512,6.0,0.0,10.0,14.0,20.0
1024.0,6.0,0,74.0,0.0,10.0,0.0,0.0,550461440.0,,{'n': 6710},b39ddd25-278f-455b-9e06-137bba68538b,19.0,10.0,sebs-floatOperation,False,RAM1536,1722578907175,1536.0,538320896.0,12140544.0,0.0,10.0,7,10752.0,74,1536,7.0,0.0,10.0,4.0,10.0
1024.0,5.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 6510},c137a959-0362-417c-8782-a60a8d723892,20.0,10.0,sebs-floatOperation,False,RAM2048,1722578907506,2048.0,538320896.0,12140544.0,0.0,10.0,6,12288.0,74,2048,6.0,0.0,10.0,3.0,0.0
1024.0,7.0,0,72.0,84.0,60.0,42.0,530.0,550461440.0,530.0,{'n': 3310},2fccff39-8eff-4fc0-a9eb-7dd29ef2d03c,21.0,9.0,sebs-floatOperation,True,RAM1792,1722578902966,1792.0,538324992.0,12136448.0,42.0,8.0,8,14336.0,72,1792,8.0,0.0,10.0,4.0,20.0
1024.0,7.0,0,72.0,0.0,10.0,0.0,518.0,550461440.0,518.0,{'n': 4510},c5f0bcc4-3e9b-42f0-b9c1-a6d8eca8faab,21.0,9.0,sebs-floatOperation,True,RAM1024,1722578901811,1024.0,538324992.0,12136448.0,0.0,8.0,8,8192.0,72,1024,8.0,0.0,10.0,7.0,10.0
1024.0,6.0,0,72.0,84.0,90.0,42.0,517.0,550461440.0,517.0,{'n': 1410},28c41325-1a03-4ca7-8eb7-337b9e10bd6e,21.0,9.0,sebs-floatOperation,True,RAM2048,1722578902786,2048.0,538324992.0,12136448.0,42.0,8.0,7,14336.0,72,2048,7.0,0.0,9.0,3.0,50.0
1024.0,8.0,0,72.0,84.0,110.0,42.0,504.0,550461440.0,504.0,{'n': 410},d65aae5f-75be-4a33-ae70-21ed57b42e6b,21.0,9.0,sebs-floatOperation,True,RAM1792,1722578902863,1792.0,538324992.0,12136448.0,42.0,8.0,9,16128.0,72,1792,9.0,0.0,10.0,4.0,20.0
1024.0,6.0,0,74.0,0.0,10.0,0.0,0.0,550461440.0,,{'n': 6510},c4c94226-adba-43a7-ad54-969ef411e5e9,19.0,11.0,sebs-floatOperation,False,RAM1152,1722578907283,1152.0,538320896.0,12140544.0,0.0,11.0,7,8064.0,74,1152,7.0,0.0,9.0,6.0,0.0
1024.0,40.0,0,74.0,13073.0,0.0,11651.0,0.0,550461440.0,,{'n': 5010},720c55d2-1077-4bba-8189-29ea8932ca9d,20.0,11.0,sebs-floatOperation,False,RAM256,1722578905959,256.0,538320896.0,12140544.0,1422.0,11.0,41,10496.0,74,256,41.0,0.0,10.0,28.0,0.0
1024.0,76.0,0,72.0,84.0,110.0,42.0,0.0,550461440.0,,{'n': 4510},f9d0c425-9a27-4796-b64b-674819184ede,21.0,9.0,sebs-floatOperation,False,RAM256,1722578901205,256.0,538324992.0,12136448.0,42.0,9.0,77,19712.0,72,256,77.0,0.0,9.0,28.0,60.0
1024.0,5.0,0,73.0,10937.0,0.0,3236.0,0.0,550461440.0,,{'n': 4510},f46ff916-2125-4d3c-b006-4fa0ace09b55,20.0,11.0,sebs-floatOperation,False,RAM2816,1722578905150,2816.0,538320896.0,12140544.0,7701.0,11.0,6,16896.0,73,2816,6.0,0.0,9.0,2.0,0.0
1024.0,7.0,0,74.0,23183.0,0.0,7928.0,0.0,550461440.0,,{'n': 7610},c45d2077-e62a-4334-871e-3dac0fad0ec3,19.0,10.0,sebs-floatOperation,False,RAM1536,1722578907443,1536.0,538320896.0,12140544.0,15255.0,10.0,8,12288.0,74,1536,8.0,0.0,10.0,4.0,20.0
1024.0,5.0,0,73.0,9920.0,10.0,2967.0,0.0,550461440.0,,{'n': 2710},c93a6394-36de-4cf2-b2e0-5f679e0b07b6,20.0,9.0,sebs-floatOperation,False,RAM2816,1722578904402,2816.0,538320896.0,12140544.0,6953.0,9.0,6,16896.0,73,2816,6.0,0.0,10.0,2.0,0.0
