agent_memory_avg,insights_duration,threads_max,used_memory_max,shutdown_reason,memory_size,request_id,start_time,tmp_free,cpu_user_time,version,agent_memory_max,init_duration,memory_utilisation,tmp_used,billed_mb_ms,shutdown,cold_start,function_name,tx_bytes,duration,rx_bytes,payload,insight_init_duration,fd_max,cpu_system_time,memory_used,total_memory,billed_duration,total_network,tmp_max,fd_use
10,692,10,71,0,2048,7e7b2701-ccdd-491f-a310-7a60d13056f2,1723088129003,538320896,700,RAM2048,10,,3,12140544,1419264,0,False,workbench-pyaes,0,693,0,"{'length_of_message': 260, 'num_of_iterations': 260}",0,1024,30,71,2048,693,0,550461440,22
10,2819,10,72,0,1280,e4649415-a129-43f0-9024-a5b393d2bcc0,1723088135554,538320896,2029,RAM1280,11,,5,12140544,3609600,0,False,workbench-pyaes,5759,2820,496,"{'length_of_message': 460, 'num_of_iterations': 460}",0,1024,20,72,1280,2820,6255,550461440,21
10,125054,10,73,0,128,18168ea0-7120-4c34-b08c-9f682db7a669,1723088499267,538320896,8370,RAM128,10,,57,12140544,16007040,0,False,workbench-pyaes,5082,125055,7863,,0,1024,80,73,128,125055,12945,550461440,21
9,16196,10,71,0,768,8e3e842d-9152-4cdf-b7d5-aabaf0fe8b20,1723088139791,538324992,6940,RAM768,9,471,9,12136448,12439296,0,True,workbench-pyaes,42,16197,42,"{'length_of_message': 860, 'num_of_iterations': 860}",471,1024,160,71,768,16197,84,550461440,22
10,2381,10,72,0,1152,085f6948-dbd0-46e2-b749-65d4d1777505,1723088157959,538320896,1510,RAM1152,10,,6,12140544,2744064,0,False,workbench-pyaes,3278,2382,718,"{'length_of_message': 410, 'num_of_iterations': 410}",0,1024,130,72,1152,2382,3996,550461440,21
10,23115,10,72,0,256,e6edc9d8-dd89-4a59-b099-79924b243b43,1723088196078,538320896,3190,RAM256,10,,28,12140544,5917696,0,False,workbench-pyaes,7845,23116,7863,"{'length_of_message': 560, 'num_of_iterations': 560}",0,1024,70,72,256,23116,15708,550461440,21
11,1224,9,72,0,1024,d90c6ea6-492d-480f-8697-f4b7706d7698,1723088137858,538320896,700,RAM1024,11,,7,12140544,1254400,0,False,workbench-pyaes,7712,1225,7879,"{'length_of_message': 260, 'num_of_iterations': 260}",0,1024,20,72,1024,1225,15591,550461440,21
10,4136,10,71,0,128,affea6b7-3316-419a-9c80-bf0faaddacd9,1723088136917,538320896,250,RAM128,10,,55,12140544,529536,0,False,workbench-pyaes,4677,4137,718,"{'length_of_message': 160, 'num_of_iterations': 160}",0,1024,10,71,128,4137,5395,550461440,21
10,15601,9,72,0,256,99c69fd0-da6a-4180-9167-9b404032b1c0,1723088204400,538320896,2220,RAM256,10,,28,12140544,3994112,0,False,workbench-pyaes,7801,15602,7941,"{'length_of_message': 460, 'num_of_iterations': 460}",0,1024,40,72,256,15602,15742,550461440,22
10,969,10,73,0,2688,d903cf8a-4306-4d7a-afd2-f73258db8038,1723088162085,538320896,980,RAM2688,10,,2,12140544,2607360,0,False,workbench-pyaes,7745,970,7449,"{'length_of_message': 310, 'num_of_iterations': 310}",0,1024,10,73,2688,970,15194,550461440,21
10,1407,10,71,0,896,b31485ae-b85c-407e-881d-f4eda1703ae9,1723088126837,538320896,700,RAM896,10,,7,12140544,1261568,0,False,workbench-pyaes,11284,1408,15711,"{'length_of_message': 260, 'num_of_iterations': 260}",0,1024,10,71,896,1408,26995,550461440,22
10,1053,10,72,0,3008,9b437fb4-7fe1-448c-bddc-09c76faa708c,1723088135380,538320896,1050,RAM3008,10,,2,12140544,3170432,0,False,workbench-pyaes,0,1054,0,"{'length_of_message': 360, 'num_of_iterations': 360}",0,1024,10,72,3008,1054,0,550461440,21
10,1608,10,72,0,1920,688ee642-ef9c-43d0-958f-ef2b380ce3f6,1723088135008,538320896,1630,RAM1920,10,,3,12140544,3089280,0,False,workbench-pyaes,15515,1609,7869,"{'length_of_message': 410, 'num_of_iterations': 410}",0,1024,30,72,1920,1609,23384,550461440,21
11,86938,10,72,0,128,d9bde963-5b21-419b-865d-c748e04840aa,1723088459940,538320896,5850,RAM128,11,,56,12140544,11128192,0,False,workbench-pyaes,4830,86939,7921,,0,1024,110,72,128,86939,12751,550461440,21
10,398,11,71,0,2176,dca9f9ae-fdb8-446b-b0d3-56631712a652,1723088127437,538320896,390,RAM2176,10,,3,12140544,868224,0,False,workbench-pyaes,11214,399,15909,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,20,71,2176,399,27123,550461440,22
11,458,10,71,0,1792,9ae9315a-8df6-49b7-9113-ea60c4733836,1723088127284,538320896,460,RAM1792,11,,3,12140544,822528,0,False,workbench-pyaes,13078,459,15340,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,0,71,1792,459,28418,550461440,22
10,6056,10,73,0,1920,6be51f76-4a94-4d59-86b2-fe26e4e2183c,1723088166699,538320896,6070,RAM1920,10,,3,12140544,11629440,0,False,workbench-pyaes,3275,6057,718,"{'length_of_message': 810, 'num_of_iterations': 810}",0,1024,50,73,1920,6057,3993,550461440,21
10,1102,10,72,0,1536,d1be88ad-9f27-455d-a360-083254a6ad70,1723088144852,538320896,960,RAM1536,10,,4,12140544,1694208,0,False,workbench-pyaes,3259,1103,992,"{'length_of_message': 310, 'num_of_iterations': 310}",0,1024,10,72,1536,1103,4251,550461440,21
9,595,9,70,0,768,3afb63fe-8f4d-4828-aa18-0f84e82b11bc,1723088124362,538324992,360,RAM768,9,384,9,12136448,457728,0,True,workbench-pyaes,42,596,42,"{'length_of_message': 160, 'num_of_iterations': 160}",384,1024,150,70,768,596,84,550461440,22
11,3531,10,73,0,2944,e39189f4-5c7f-4a62-9dc0-8f048db03a63,1723088155102,538320896,3540,RAM2944,11,,2,12140544,10398208,0,False,workbench-pyaes,3199,3532,496,"{'length_of_message': 610, 'num_of_iterations': 610}",0,1024,20,73,2944,3532,3695,550461440,21
10,387,10,71,0,2560,3366b12d-1640-4ca6-ac99-fc9e8b1e8ef4,1723088143605,538320896,360,RAM2560,11,,2,12140544,993280,0,False,workbench-pyaes,3200,388,496,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,10,71,2560,388,3696,550461440,22
9,11899,10,71,0,1408,586eb495-f7e4-4123-9cc4-ef1ed3b0da27,1723088170861,538324992,6050,RAM1408,9,420,5,12136448,16755200,0,True,workbench-pyaes,42,11900,42,"{'length_of_message': 910, 'num_of_iterations': 910}",420,1024,100,71,1408,11900,84,550461440,22
9,14762,10,70,0,128,1c86ebeb-eafa-400d-8757-a6527b5d297b,1723088138564,538324992,910,RAM128,9,413,54,12136448,1889664,0,True,workbench-pyaes,42,14763,42,"{'length_of_message': 310, 'num_of_iterations': 310}",413,1024,30,70,128,14763,84,550461440,22
10,2009,10,73,0,2688,2ee10b0a-b30a-42eb-af32-11411601111e,1723088205657,538320896,2040,RAM2688,10,,2,12140544,5402880,0,False,workbench-pyaes,7825,2010,7845,"{'length_of_message': 460, 'num_of_iterations': 460}",0,1024,50,73,2688,2010,15670,550461440,21
11,2702,10,73,0,1664,322becb2-dd4b-41a3-ae6b-161c1bc97aa6,1723088219136,538320896,2450,RAM1664,11,,4,12140544,4497792,0,False,workbench-pyaes,7801,2703,7755,"{'length_of_message': 510, 'num_of_iterations': 510}",0,1024,0,73,1664,2703,15556,550461440,21
10,7456,10,74,0,2816,9dd8d3cf-9e6f-461c-ad11-839890953939,1723088185729,538320896,7500,RAM2816,10,,2,12140544,20998912,0,False,workbench-pyaes,7761,7457,7767,"{'length_of_message': 910, 'num_of_iterations': 910}",0,1024,60,74,2816,7457,15528,550461440,21
10,2672,10,73,0,1664,cf13b89a-e9cc-46ba-a270-923fa871d7ed,1723088179069,538320896,2460,RAM1664,10,,4,12140544,4447872,0,False,workbench-pyaes,3321,2673,760,"{'length_of_message': 510, 'num_of_iterations': 510}",0,1024,30,73,1664,2673,4081,550461440,21
9,51992,10,71,0,256,bd9ab467-0aa6-4303-9bfc-875ba1b5f0b9,1723088175838,538324992,7260,RAM256,9,462,27,12136448,13310208,0,True,workbench-pyaes,42,51993,42,"{'length_of_message': 860, 'num_of_iterations': 860}",462,1024,140,71,256,51993,84,550461440,22
10,265,9,71,0,2560,347b29cc-361e-453a-8056-1bab27d2c1db,1723088131019,538320896,280,RAM2560,10,,2,12140544,680960,0,False,workbench-pyaes,3239,266,538,"{'length_of_message': 160, 'num_of_iterations': 160}",0,1024,0,71,2560,266,3777,550461440,22
9,22006,9,71,0,640,4b13b7df-c95e-4b52-993f-47173e7ce919,1723088145709,538324992,7840,RAM640,9,467,11,12136448,14084480,0,True,workbench-pyaes,42,22007,42,"{'length_of_message': 910, 'num_of_iterations': 910}",467,1024,100,71,640,22007,84,550461440,22
10,134,10,71,0,1920,5bb9cd30-97aa-435f-b5a5-9e03114a1931,1723088130056,538320896,140,RAM1920,10,,3,12140544,259200,0,False,workbench-pyaes,0,135,0,"{'length_of_message': 110, 'num_of_iterations': 110}",0,1024,10,71,1920,135,0,550461440,21
9,1344,10,70,0,640,c955a2d5-218c-4093-b265-5a440d024513,1723088125237,538324992,490,RAM640,9,477,10,12136448,860800,0,True,workbench-pyaes,42,1345,42,"{'length_of_message': 210, 'num_of_iterations': 210}",477,1024,60,70,640,1345,84,550461440,22
10,43,10,71,0,3008,9e4d8a99-263f-4210-a40e-c7e80241a827,1723088127279,538320896,40,RAM3008,10,,2,12140544,132352,0,False,workbench-pyaes,10596,44,14546,"{'length_of_message': 60, 'num_of_iterations': 60}",0,1024,10,71,3008,44,25142,550461440,21
9,10380,10,70,0,384,1947334d-adf2-48d7-bed2-71d9b20f607b,1723088134232,538324992,2200,RAM384,9,470,18,12136448,3986304,0,True,workbench-pyaes,42,10381,42,"{'length_of_message': 460, 'num_of_iterations': 460}",470,1024,110,70,384,10381,84,550461440,22
11,7322,10,71,0,1152,2a10faf8-0d2f-4024-94b5-a572050a3822,1723088146043,538320896,3180,RAM1152,11,,6,12140544,8436096,0,False,workbench-pyaes,3321,7323,760,"{'length_of_message': 660, 'num_of_iterations': 660}",0,1024,60,71,1152,7323,4081,550461440,21
10,54,10,71,0,1536,db9a4649-fa37-4b36-ab99-04a7af94a63e,1723088126954,538320896,60,RAM1536,10,,4,12140544,84480,0,False,workbench-pyaes,0,55,0,"{'length_of_message': 60, 'num_of_iterations': 60}",0,1024,20,71,1536,55,0,550461440,21
11,5850,10,72,0,512,7fdccb9b-3350-4aa5-b524-2ecb6c901a5c,1723088155524,538320896,1660,RAM512,11,,14,12140544,2995712,0,False,workbench-pyaes,11356,5851,16041,"{'length_of_message': 410, 'num_of_iterations': 410}",0,1024,20,72,512,5851,27397,550461440,22
10,4115,10,73,0,1280,fe0e4c08-f559-4195-9a98-f16279b992cf,1723088190433,538320896,2960,RAM1280,10,,5,12140544,5268480,0,False,workbench-pyaes,3280,4116,718,"{'length_of_message': 560, 'num_of_iterations': 560}",0,1024,30,73,1280,4116,3998,550461440,21
11,927,10,72,0,2304,5a2ec0f4-c358-4fd6-adb6-71dce199038b,1723088131464,538320896,930,RAM2304,11,,3,12140544,2138112,0,False,workbench-pyaes,42,928,42,"{'length_of_message': 310, 'num_of_iterations': 310}",0,1024,0,72,2304,928,84,550461440,21
10,12025,10,72,0,384,527d5a02-0bc7-4f39-8e71-43b3f62ef03c,1723088175714,538320896,2550,RAM384,10,,18,12140544,4617984,0,False,workbench-pyaes,11226,12026,15975,"{'length_of_message': 510, 'num_of_iterations': 510}",0,1024,50,72,384,12026,27201,550461440,22
