tmp_free,cold_start,agent_memory_avg,function_error,billed_mb_ms,total_network,billed_duration,init_duration,fd_use,tmp_max,used_memory_max,shutdown,agent_memory_max,total_memory,request_id,memory_size,cpu_system_time,insights_duration,version,duration,memory_used,rx_bytes,insight_init_duration,shutdown_reason,tmp_used,tx_bytes,function_name,cpu_user_time,threads_max,fd_max,memory_utilisation,payload
538320896,False,10,,6011904,384,11742,,21,550461440,363,0,10,512,dc934be9-4621-49f7-abb3-3ec212943393,,100,11741,RAM512,,,264,0,0,12140544,120,workbench-matmul,1800,9,1024,70,{'n': 3310}
538320896,False,11,,79382016,15990,29532,,21,550461440,2215,0,11,2688,3ff7d274-3a49-4547-82d6-6b75a1be4585,,1300,29531,RAM2688,,,7959,0,0,12140544,8031,workbench-matmul,42820,10,1024,82,{'n': 9310}
538320896,False,11,,15600640,4115,5540,,21,550461440,789,0,11,2816,a3144d4b-391a-40d4-bba3-df0f51936138,,460,5539,RAM2816,,,760,0,0,12140544,3355,workbench-matmul,8050,10,1024,28,{'n': 5310}
538320896,False,10,,59044608,15914,21966,,21,550461440,2207,0,10,2688,661463f2-33a8-4726-bb21-f73ca3e47452,,1040,21965,RAM2688,,,7947,0,0,12140544,7967,workbench-matmul,31590,10,1024,82,{'n': 8410}
538320896,False,10,,5058560,3732,3952,,21,550461440,810,0,10,1280,d8cf7be2-29c2-461b-ab30-bca8ec6f34ef,,120,3951,RAM1280,,,496,0,0,12140544,3236,workbench-matmul,2770,10,1024,63,{'n': 3610}
538320896,False,9,,3795200,0,5930,,21,550461440,640,1,9,640,1b07504b-e4ea-4b63-a5af-ac73bab62880,,340,5929,RAM640,,,0,0,failure,12140544,0,workbench-matmul,380,9,1024,100,{'n': 5110}
538320896,False,11,,9212416,15488,3788,,21,550461440,657,0,11,2432,f47dacd1-2848-4e67-b1c7-c88a8b14f45e,,230,3787,RAM2432,,,7677,0,0,12140544,7811,workbench-matmul,4830,10,1024,27,{'n': 4410}
538320896,False,9,,7462656,0,6478,,21,550461440,1152,1,9,1152,9b054eb6-6890-499a-9112-c2e1de4c8cd2,,1690,6477,RAM1152,,,0,0,failure,12140544,0,workbench-matmul,1020,9,1024,100,{'n': 8310}
538320896,False,11,,17973120,15734,12765,,21,550461440,838,0,11,1408,01bf2299-fea9-4afb-bf6c-5fb3f516eed2,,210,12764,RAM1408,,,7941,0,0,12140544,7793,workbench-matmul,9940,9,1024,59,{'n': 5610}
538320896,False,11,,41356992,15936,13749,,21,550461440,1993,0,11,3008,ffff06f4-88d1-4ceb-b00d-2907a2b8b605,3008,710,13748,RAM3008,13749,1993,7899,0,0,12140544,8037,workbench-matmul,21940,10,1024,66,{'n': 7410}
